,channelId,videoId,textDisplay,P_N
0,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,BULLSHIT TRYING TO SELL SHIT 🎉🎉🎉🎉🎉🎉, 
1,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,Step 1 प्राणायाम<br>Step 2 त्राथक<br>Rest is 😴💤 especially if subject is boring, 
2,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,get to the point zzeeee, 
3,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,I coincidentally did “1. Get Alert” and “5. Do nothing” and it magically boosted me great grades. It surprises me to this day-, 
4,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"in about 40 hours, you can become a layman of anything if you just turn your pc on and have a structure to what you are doing when you sit down to fill out a binder. Work out and do house chores and fk off and fill up during it all whatever. Everything I watch in the world that learns things, is usually playing while learning. Figure it out.", 
5,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,Nice vid :) could you improve your audio?, 
6,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,That song playing in the background was brutal, 
7,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"I do this every often, without actually knowing this video nor the person, It&#39;s something I learnt it myself; that explains why I become really focused sometimes.", 
8,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"i taken your challenge , meet you after one month", 
9,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,Jim Kwik&#39;s book limitless mentions taking breaks after reading after a while then getting back to it so that your brain doesn&#39;t get tired., 
10,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,After this video im sleeping, 
11,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"Been doing this for years. Read like a jetfighter, then get bored, then stare into the void for about a few minutes, then wake up from this retarded dolphin sleep, and get back to reading the slides.", 
12,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,I can&#39;t tell if this video is satire or not, 
13,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,The big secret of this method that nobody notices is the placebo effect at its core that makes it work. Nothing magical happened it is simply the illusion of you doing something to study better that creates the illusion that keeps you going. Essentially it is BS.., 
14,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"Decades back when i was in school and university one issue i had was getting allert and therefor then afterwards focused. To This day i think it is because i am not a morning person. Anything befor <a href=""https://www.youtube.com/watch?v=r8MLGFbOhYM&amp;t=600"">10:00</a> i am just not yet awake. Which therefor later in my jobs i always tended to become a nighttime worker and late time ariver at work. Not all employeers liked that. As team meetings at times were first thing in the morning, instead of say last thing of the day which i would have prefered. There was also the distrust that when left alone at work in the evening, without control, the work was not done proper. All in all i found this approach of employeers anyoing if not insulting. It may have changed to some extant due to covid, but there are still enough of that old mindset out there.", 
15,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,Goes on to take 10 sec break. 10 seconds never end, 
16,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"During my education I didn&#39;t really revise that much as since I was doing these things naturally anyway without ever knowing they were beneficial. Then in university, times were tougher so I was trying to do much more, I also saw other people doing so much work so I thought that with my &quot;natural talent&quot; if I worked as hard as them I&#39;d be a genius but then I found out that my grades were so much worse. In 3rd year, I stopped carrying as much and I went back to my old ways and I ended up acing my degree without doing as much work. This video helped explain everything and now I know that I wasn&#39;t actually being lazy but I was doing things properly.", 
17,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"<a href=""https://www.youtube.com/watch?v=r8MLGFbOhYM&amp;t=157"">2:37</a> / <a href=""https://www.youtube.com/watch?v=r8MLGFbOhYM&amp;t=310"">5:10</a>", 
18,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,You need a neuroscientist to tell you to take breaks while studying?, 
19,UCL5PX6xQ0KBim6eQfDU74Qw,r8MLGFbOhYM,"Neuro scientist discovers that * ahem*<br>Taking small breaks, AND <b>get this</b> BREATHING deeply can improve ones Productivity.<br>truly our brightest minds.", 
